"qf","plotname","negative","positive","group","meanYes","meanNo","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","change"
"F6","F6 Dog Sociability","less sociable","highly sociable","charming",-0.4990375,-0.306001153846154,-0.193036346153846,-0.4990375,-0.306001153846154,"z","in","out",4,52,-0.35643529296755,0.741,3.67505799535484,-1.75060146938291,1.36452877707522,"T-test","two.sided",0.894,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","curious",-0.940325,-0.272055961538462,-0.668269038461538,-0.940325,-0.272055961538462,"z","in","out",4,52,-1.46582030318047,0.216,4.0102114504538,-1.93278318940562,0.596245112482543,"T-test","two.sided",0.750857142857143,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","devoted_loyal",0.4411025,-0.446604791666667,0.887707291666667,0.4411025,-0.446604791666667,"z","in","out",8,48,2.97965297756177,0.00891,15.8596789918247,0.255684198828522,1.51973038450481,"T-test","two.sided",0.1782,"ns","highly sociable"
"F6","F6 Dog Sociability","less sociable","highly sociable","energetic_exuberant_lively_peppy",-0.587098571428571,-0.281602448979592,-0.30549612244898,-0.587098571428571,-0.281602448979592,"z","in","out",7,49,-0.617003894460153,0.555,7.72362506468414,-1.45441492914329,0.843422684245331,"T-test","two.sided",0.846075949367089,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","friendly",-0.667958333333333,-0.224834318181818,-0.443124015151515,-0.667958333333333,-0.224834318181818,"z","in","out",12,44,-0.907878729314715,0.38,13.7757967278986,-1.49156766978602,0.605319639482992,"T-test","two.sided",0.8,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","gentle",0.012484,-0.352365294117647,0.364849294117647,0.012484,-0.352365294117647,"z","in","out",5,51,0.726823187458171,0.499,5.09405296468561,-0.918393320289514,1.64809190852481,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","loyal",0.476713333333333,-0.4153698,0.892083133333333,0.476713333333333,-0.4153698,"z","in","out",6,50,2.4235271612917,0.0415,8.03967600847657,0.043987984542234,1.74017828212443,"T-test","two.sided",0.383076923076923,"ns","highly sociable"
"F6","F6 Dog Sociability","less sociable","highly sociable","outgoing",-0.067735,-0.339178269230769,0.271443269230769,-0.067735,-0.339178269230769,"z","in","out",4,52,0.353252537398923,0.745,3.29385108370216,-2.05508132965431,2.59796786811584,"T-test","two.sided",0.894,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","playful",-0.886395,-0.225355208333333,-0.661039791666667,-0.886395,-0.225355208333333,"z","in","out",8,48,-1.68754337382521,0.12,10.7993428230458,-1.52516207456657,0.203082491233241,"T-test","two.sided",0.6,"ns","neutral"
"F6","F6 Dog Sociability","less sociable","highly sociable","smart",-0.274505833333333,-0.332139545454545,0.0576337121212121,-0.274505833333333,-0.332139545454545,"z","in","out",12,44,0.190225928129717,0.85,28.224713515176,-0.562760037957527,0.678027462199951,"T-test","two.sided",0.935779816513762,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","active",-0.17941,-0.0722496078431372,-0.107160392156863,-0.17941,-0.0722496078431372,"z","in","out",4,51,-0.309995759754875,0.769,4.8983589814848,-1.0013425544541,0.787021770140376,"T-test","two.sided",0.913663366336634,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","affectionate",-0.685761111111111,0.0384669565217391,-0.72422806763285,-0.685761111111111,0.0384669565217391,"z","in","out",9,46,-1.60784307906432,0.138,10.339946606785,-1.72340409759953,0.274947962333826,"T-test","two.sided",0.64,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","alert",-0.992558333333333,0.0316934693877551,-1.02425180272109,-0.992558333333333,0.0316934693877551,"z","in","out",6,49,-3.89236286331821,0.00204,12.3356453848303,-1.59586780794643,-0.452635797495746,"T-test","two.sided",0.12216,"ns","high engagement"
"F7","F7 Environmental Engagement","high engagement","low engagement","bright_clever_intelligent_smart_very smart",-0.124128181818182,-0.0506530303030303,-0.0734751515151515,-0.124128181818182,-0.0506530303030303,"z","in","out",22,33,-0.248806432116812,0.804,51.9134106068734,-0.666082547601662,0.519132244571359,"T-test","two.sided",0.918857142857143,"ns","neutral"
